,combination,sim
117,4C8T6PTV TO NINP5I8I,0.38118688818963764
1188,2017_1 TO XSJ9KCBQ,0.3801702739499948
317,9895DC6Q TO QVXBKCSS,0.37983782162390467
584,6UGSWD8D TO XGBBFQWX,0.3789269925408
88,H3HIEFKV TO T4S3K5ZT,0.37883740885297834
91,T4S3K5ZT TO Z56T9MF4,0.37882322402878743
399,7V9JCFSV TO Z56T9MF4,0.37816889389573594
1170,2017_1 TO XGBBFQWX,0.37782563116667256
1147,2017_9 TO DW9W8Z9I,0.3777291313461624
449,5G8U33QZ TO ABX4R7K5,0.377652260752422
1181,2017_1 TO GCGB74CJ,0.37751365416146165
318,9895DC6Q TO GQPNFE6B,0.3773179983645534
1162,DW9W8Z9I TO GCGB74CJ,0.37660566846240096
1059,2017_9 TO T9IJMSRB,0.3760476614763013
392,2017_9 TO 7V9JCFSV,0.3759777110598044
548,2017_10 TO XGBBFQWX,0.3755606920690454
1033,2017_8 TO 56QUJEMP,0.3753713768758361
435,2017_1 TO AFWXF8CH,0.3730207117183926
48,4IR7FP3G TO XSJ9KCBQ,0.37233057570074024
549,2017_1 TO 2017_10,0.3721191982113815
776,2017_6 TO CDAJEXM8,0.37141010346405345
782,CDAJEXM8 TO GCGB74CJ,0.37076082895913887
620,2017_1 TO NX42RPT2,0.37032491915772625
1100,2017_5 TO QVXBKCSS,0.37004393958608084
997,9T2T3NWW TO T8P7HT8E,0.3693135362030425
1067,QVXBKCSS TO T9IJMSRB,0.3688100744331614
710,F5SXURFA TO T9IJMSRB,0.3683745981543127
911,2017_6 TO AMDVNRNA,0.3679893952852161
788,56QUJEMP TO CDAJEXM8,0.3667038316737229
480,ABX4R7K5 TO GQPNFE6B,0.36645982768198315
1092,2017_5 TO 2017_9,0.3663543322469841
178,DW9W8Z9I TO GPBS8H6W,0.36586386846225083
500,2017_11 TO 9T2T3NWW,0.365835579758959
728,F5SXURFA TO XSJ9KCBQ,0.3644581399063419
540,2017_10 TO T9IJMSRB,0.36438673706030944
1168,56QUJEMP TO DW9W8Z9I,0.3635584052443738
649,2017_7 TO 5G8U33QZ,0.36347398726296765
328,FQVMU8GU TO NX42RPT2,0.36312057769096984
76,2017_8 TO T4S3K5ZT,0.36309670072824185
565,6UGSWD8D TO F96H6I58,0.36265987278867196
718,F5SXURFA TO XGBBFQWX,0.3620755780356235
303,9895DC6Q TO T9IJMSRB,0.3619932876961284
724,F5SXURFA TO QVXBKCSS,0.36190070952676157
1007,9T2T3NWW TO GCGB74CJ,0.3614500029486698
484,2017_10 TO 2017_11,0.36111533245298855
1158,2017_9 TO XSJ9KCBQ,0.3604277553772923
505,2017_11 TO 2017_5,0.3600077370613425
127,2017_5 TO 4C8T6PTV,0.35954302151021145
511,2017_11 TO XGBBFQWX,0.3593330382408799
853,2017_8 TO KF3CZPHV,0.3587446121618524
891,H3HIEFKV TO NINP5I8I,0.35862929596359505
1126,2017_7 TO GCGB74CJ,0.35853247412279
550,2017_10 TO H3HIEFKV,0.35764145144467296
890,2017_1 TO NINP5I8I,0.35724871412314885
1076,2017_9 TO T8P7HT8E,0.35721093091430156
998,2017_5 TO 9T2T3NWW,0.35687621273168
1079,2017_1 TO T8P7HT8E,0.35650307789515634
707,9T2T3NWW TO F5SXURFA,0.3556963256328849
